geo\time;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
EU (28 countries);:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
EU (27 countries);:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
Belgium;1397;1470;1486;1306;1213;1162;1089;1069;1071;944;944;840;862;770;723
Bulgaria;:;:;1011;959;960;943;957;1043;:;:;901;:;:;:;:
Czech Republic;1455;1486;1333;1430;1447;1382;1286;1063;1221;1076;901;802;773;742;654
Denmark;514;498;431;463;432;369;331;306;406;406;303;255;220;167;191
Germany;7772;7503;6977;6842;6613;5842;5361;5091;4949;4477;4152;3648;4009;3600;3339
Estonia;:;:;199;223;164;170;170;204;196;132;98;:;:;:;:
Ireland;414;418;412;378;337;377;400;365;338;280;238;212;186;162;:
Greece;2116;2037;1880;1634;1605;1670;1658;1657;1612;1553;1456;1258;1141;988;:
Spain;5738;5778;5516;5348;5399;4741;4442;4103;3823;3099;2715;2480;2060;1902;1680
France;8487;8078;8160;7655;6057;5530;5318;4709;4620;4275;4273;3992;3963;3653;:
Croatia;:;:;:;:;:;:;:;:;619;664;548;426;418;393;368
Italy;6688;7061;7096;6980;6563;6122;5818;5669;5131;4725;4237;4114;3860;3753;3385
Cyprus;:;:;98;94;97;117;:;:;89;82;71;60;71;51;44
Latvia;:;:;558;559;532;516;442;407;419;316;254;218;179;177;179
Lithuania;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
Luxembourg;58;76;70;62;53;50;47;43;46;35;48;32;33;34;45
Hungary;:;:;1239;1429;1326;1296;1278;1303;1232;996;822;740;638;605;591
Malta;:;:;16;16;16;13;17;11;12;9;15;13;:;:;:
Netherlands;1090;1082;993;987;1028;804;750;730;709;677;644;537;546;562;476
Austria;1079;976;958;956;931;878;768;730;691;679;633;552;523;531;:
Poland;:;6294;5534;5826;5642;5712;5444;5243;5583;5437;4572;3908;4189;3571;:
Portugal;1995;1858;1671;1675;1546;1293;1247;969;974;885;840;937;891;718;637
Romania;2468;2466;2450;2411;2229;2442;2629;2587;2800;3065;2796;2377;2018;2042;1861
Slovenia;:;314;278;269;242;274;258;262;293;214;171;138;141;130;:
Slovakia;:;:;614;610;645;603;606;614;661;606;384;371;:;:;:
Finland;431;396;433;415;379;375;379;336;380;344;279;272;292;255;258
Sweden;580;591;583;560;529;480;440;445;471;397;358;266;:;:;260
United Kingdom;3564;3580;3598;3581;3658;3368;3336;3298;3059;2645;2337;1905;1960;1802;1770
Iceland;:;:;24;29;23;23;19;31;15;12;17;8;12;9;15
Liechtenstein;:;:;2;0;5;1;2;0;1;1;1;:;:;:;:
Norway;:;:;275;310;280;257;224;242;233;255;212;208;168;145;187
Switzerland;:;:;544;513;546;510;409;370;384;357;349;327;320;339;269
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
