 ; ;Tekoèi mesec / isti mesec prejšnjega leta
Proizvodnja motornih vozil, prikolic in polprikolic;;
Proizvodnja motornih vozil, prikolic in polprikolic;2004M01;96.2
Proizvodnja motornih vozil, prikolic in polprikolic;2005M01;103.0
Proizvodnja motornih vozil, prikolic in polprikolic;2006M01;99.4
Proizvodnja motornih vozil, prikolic in polprikolic;2007M01;101.4
Proizvodnja motornih vozil, prikolic in polprikolic;2008M01;99.8
Proizvodnja motornih vozil, prikolic in polprikolic;2009M01;102.3
Proizvodnja motornih vozil, prikolic in polprikolic;2010M01;98.5
Proizvodnja motornih vozil, prikolic in polprikolic;2011M01;104.7
Proizvodnja motornih vozil, prikolic in polprikolic;2012M01;101.0
Proizvodnja motornih vozil, prikolic in polprikolic;2013M01;99.4
Proizvodnja motornih vozil, prikolic in polprikolic;2014M01;100.5
Proizvodnja motornih vozil, prikolic in polprikolic;2015M01;100.8
