;Leto in mesec;..motorna kolesa;....osebni avtomobili;..avtobusi;....tovornjaki;..traktorji
Število prvih registracij - nova vozila;2004M01;11;5306;5;447;31
Število prvih registracij - nova vozila;2005M01;23;5728;3;369;54
Število prvih registracij - nova vozila;2006M01;20;5323;9;584;69
Število prvih registracij - nova vozila;2007M01;81;5008;7;648;154
Število prvih registracij - nova vozila;2008M01;125;6328;22;635;149
Število prvih registracij - nova vozila;2009M01;72;4770;8;378;124
Število prvih registracij - nova vozila;2010M01;74;5188;9;357;111
Število prvih registracij - nova vozila;2011M01;70;5531;7;455;95
Število prvih registracij - nova vozila;2012M01;44;5105;8;577;180
Število prvih registracij - nova vozila;2013M01;50;4458;9;510;143
Število prvih registracij - nova vozila;2014M01;44;4728;10;748;152
Število prvih registracij - nova vozila;2015M01;42;5301;12;511;134
