 ; ;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
..motorna kolesa;;;;;;;;;;;;
 ;Manj kot 3 leta;2505;3296;5511;11005;13508;13673;11152;8106;6396;5728;5828
 ;3 - 5 let;3167;2972;3151;6631;8604;10307;12109;13461;13071;10580;8079
 ;6 - 8 let;2135;3153;3947;6253;6181;6835;8165;9494;10558;11844;13357
 ;9 - 11 let;1061;1149;1751;4013;5855;6633;6743;6314;6895;8056;9548
 ;12 let in veè;2706;3903;4441;6260;7464;8737;10517;12512;14079;15728;17819
....osebni avtomobili;;;;;;;;;;;;
 ;Manj kot 3 leta;161542;166807;167425;176029;183653;181405;170197;152685;140761;125719;110676
 ;3 - 5 let;213805;194320;192092;196975;205269;204485;206881;210543;203027;190429;174700
 ;6 - 8 let;214360;230655;234473;219864;197342;196198;202619;210808;208437;211122;217975
 ;9 - 11 let;166433;172335;188952;206120;221254;222729;204125;182310;182339;191959;201852
 ;12 let in veè;177801;196096;197319;215134;237665;254041;277824;310149;331464;344566;363159
..avtobusi;;;;;;;;;;;;
 ;Manj kot 3 leta;359;380;378;376;428;432;460;405;369;378;428
 ;3 - 5 let;456;401;397;403;434;409;397;455;458;475;441
 ;6 - 8 let;448;543;559;543;443;427;436;443;424;426;500
 ;9 - 11 let;309;298;357;454;551;546;495;424;404;403;405
 ;12 let in veè;697;633;586;554;522;580;612;695;755;783;785
....tovornjaki;;;;;;;;;;;;
 ;Manj kot 3 leta;12476;13315;14338;17407;19924;17804;14547;11481;11169;11023;10992
 ;3 - 5 let;12147;12140;12662;12991;13834;15309;17756;19451;17242;13994;11402
 ;6 - 8 let;9696;10494;11588;12323;12015;11966;12339;13080;13875;16001;17907
 ;9 - 11 let;7015;7710;8383;8850;9875;10607;10447;10052;10069;10379;11333
 ;12 let in veè;9907;9987;10080;11064;11937;12436;13231;14571;15840;16867;18187
